"","attribute","t.stat.16","t.pval.16","t.pval.adj.16","t.stat","t.pval","cohen.d","t.pval.adj"
"1","simvar38",11.6757058008039,3.55722558765417e-31,3.55722558765417e-28,9.15612218386587,4.23899619283899e-20,0.294215838851627,4.20932321948911e-17
"2","simvar51",11.1724579093594,9.29163923827073e-29,9.28234759903246e-26,10.2122180309429,1.7572933362091e-24,0.328151616391055,1.7572933362091e-21
"3","simvar79",10.8924527109281,1.8661206308595e-27,1.86238838959778e-24,9.61012740740269,6.27985790475696e-22,0.308804496036793,6.2735780468522e-19
"4","simvar93",10.8563058808012,2.73483532763193e-27,2.72663082164904e-24,9.43153342510232,3.36837072738179e-21,0.303065693379818,3.35826561519964e-18
"5","simvar80",10.5681459131858,5.52286773294839e-26,5.50077626201659e-23,9.25303844739497,1.75269635183573e-20,0.297330072060837,1.74568556642839e-17
"6","simvar3",9.872382314083,5.76369980560454e-23,5.73488130657652e-20,8.46128321405048,1.84607142019913e-17,0.271888413958667,1.82022642031634e-14
"7","simvar47",9.8570825222057,6.68272439361539e-23,6.6426280472537e-20,8.69759523409978,2.45827302516766e-18,0.279481883968497,2.42877374886565e-15
"8","simvar67",9.82276027063293,9.30587820843793e-23,9.24073706097886e-20,8.74750387499863,1.59518510212902e-18,0.281085610126048,1.5776380660056e-15
"9","simvar15",9.70636591425096,2.83781157470082e-22,2.81510908210321e-19,8.8811656261845,4.95279999868097e-19,0.28538059477761,4.90327199869416e-16
"10","simvar65",9.54735336460994,1.27613878546645e-21,1.26465353639725e-18,8.89592685838021,4.3482127277135e-19,0.285854920941649,4.30907881316408e-16
"11","simvar11",9.35982041882486,7.29635140046727e-21,7.2233878864626e-18,9.23876726105935,1.99720889519948e-20,0.296871492656279,1.98722285072348e-17
"12","simvar32",9.32045831817877,1.04779189481883e-20,1.03626618397582e-17,8.16283349245955,2.18652296637517e-16,0.26229825849442,2.15153859891317e-13
"13","simvar66",9.2823102336938,1.48597653656715e-20,1.46814481812834e-17,9.44943332726004,2.85025464602084e-21,0.303640875167799,2.8445541367288e-18
"14","simvar73",9.26533730317893,1.73515357457204e-20,1.71259657810261e-17,9.0275169986695,1.3501959531596e-19,0.290083338030495,1.33939438553432e-16
"15","simvar92",9.19027881719324,3.43322244252417e-20,3.38515732832883e-17,8.21769976410473,1.39674458857842e-16,0.264061289372841,1.37579341974974e-13
"16","simvar25",9.13076379685852,5.87632996432504e-20,5.78818501486017e-17,8.58812901133762,6.29580790105066e-18,0.275964379952153,6.213962398337e-15
"17","simvar43",8.95724277818045,2.76432745521227e-19,2.72009821592887e-16,8.11345412478557,3.26497644513894e-16,0.260711539598536,3.20947184557157e-13
"18","simvar82",8.83380062793264,8.17904762313902e-19,8.04000381354566e-16,9.17648972276954,3.52346383348082e-20,0.294870313794573,3.50232305047993e-17
