"","attribute","t.stat.16","t.pval.16","t.pval.adj.16","t.stat","t.pval","cohen.d","t.pval.adj"
"1","simvar1",10.4145092492068,2.66028725485019e-25,2.66028725485019e-22,9.57210559241062,8.93984186087111e-22,0.304591660413092,8.93090201901024e-19
"2","simvar67",10.1751386573711,2.95399031996752e-24,2.95103632964756e-21,9.80838575331802,9.33096628167589e-23,0.312110274352173,9.33096628167589e-20
"3","simvar5",10.1075257110337,5.77658893488753e-24,5.76503575701776e-21,9.04976293596897,1.1001160510249e-19,0.287970320887095,1.09681570287182e-16
"4","simvar10",10.0118533420029,1.48168586333572e-23,1.47724080574572e-20,9.05263770058075,1.07210120036422e-19,0.288061798077557,1.06995699796349e-16
"5","simvar19",9.5508375504128,1.23508935182355e-21,1.23014899441626e-18,8.51830290859215,1.13538318566094e-17,0.271058859702396,1.12970626973263e-14
"6","simvar16",9.49347081034036,2.11291786183278e-21,2.10235327252362e-18,8.71311729793528,2.13919978584089e-18,0.277258001338426,2.13064298669752e-15
"7","simvar32",9.10353838431974,7.50601757969391e-20,7.46098147421575e-17,8.32313800889305,5.83323104152102e-17,0.264848564560977,5.79823165527189e-14
"8","simvar90",9.08418676989663,8.92874354104239e-20,8.8662423362551e-17,8.30224709366563,6.93545763330603e-17,0.264183799792636,6.88690942987289e-14
"9","simvar36",8.71622750130805,2.26867251955951e-18,2.25052313940304e-15,8.26224587665131,9.64951502326906e-17,0.262910930726232,9.57231890308291e-14
"10","simvar68",8.03759006007877,6.38408381992398e-16,6.32662706554467e-13,7.05168297819292,1.03863995915431e-12,0.224389901082736,1.0251376396853e-09
"11","simvar8",7.95470709041773,1.23471158145238e-15,1.22236446563785e-12,6.76298817522346,7.75179719540915e-12,0.215203413476621,7.6200166430872e-09
"12","simvar20",7.94709933101721,1.31135848935823e-15,1.29693354597529e-12,7.42333698497002,6.95573078654439e-14,0.236216213478743,6.88617347867895e-11
"13","simvar7",7.94667929850508,1.3157241567833e-15,1.2999354669019e-12,6.57189645878937,2.80787880894473e-11,0.209122730116213,2.74891335395689e-08
"14","simvar23",7.80426044285428,4.02233000611409e-15,3.97003971603461e-12,7.24617369454409,2.56503872601065e-13,0.230578743198654,2.53682330002453e-10
"15","simvar24",7.70687031113605,8.54350951935851e-15,8.4239003860875e-12,6.70468332045291,1.15224686826282e-11,0.213348108773465,1.13035417776583e-08
"16","simvar62",7.54295311155496,2.97592190192407e-14,2.93128307339521e-11,7.52627562322495,3.21467467830484e-14,0.239491799027192,3.1857426062001e-11
"17","simvar56",7.47299019775098,5.03084251730541e-14,4.95034903702852e-11,6.19786758585001,3.15497623230348e-10,0.197220847677581,3.06032694533438e-07
